UI INFO,,,ITERATION 1,,,,,,
NO,USER,UI DESCRIPTION,VIEW,CONTROLLER,FEEDBACK ABOUT PAGES,,,,
,,,,,AMAR,IVAN,GUS,V8,TALHA
1,manager,welcome,TALHA,,,,,,
2,manager,get report,TALHA,TALHA,,,,,Example of Create a table with navigation and populate it
3,manager,assign task,,,,,,,
4,admin,welcome,TALHA,,,,,,
5,admin,edit contract,,,,,,,
6,admin,delete contract,TALHA,TALHA,,,,,Example of DELETE
7,client,welcome,TALHA,,,,,,
8,client,see history,,,,,,,
9,client,give score,,,,,,,
10,sale associate,welcome,TALHA,,,,,,
11,sale associate,create contract,,,,,,,
12,sale associate,create client,TALHA,TALHA,,,,,"Example of CREATE
and Populate a Dropdown from DB  according to the other DB"
13,TAM,welcome,TALHA,,,,,,
14,TAM,assign manager,,,,,,,
15,employee,welcome,TALHA,,,,,,
16,employee,select contract type,TALHA,TALHA,,,,,"Example of how to UPDATE please 
review the code"
17,-,login,TALHA,TALHA,,,,,"Example of how to LOGIN please 
review the code"
18,-,home,TALHA,,,,,,
19,-,about,TALHA,,,,,,
20,-,denied(failed login),TALHA,,,,,,
,,,,,,,,,
,COLOUR DESCRIPTION:,DONE,,Please feel free to add/edit new UIs!,,,,,
,,PLANNING TO DO,,https://github.com/talhamucar/local5531,,,,,
